Exch,Exchange Segment,Group Name,Symbol,Token,Instrument Type,Instrument Name,Formatted Ins Name,Trading Symbol,Lot Size,Tick Size
NSE,nse_cm,EQ,011NSETEST,14747,0,011NSETEST,011NSETEST-EQ,011NSETEST-EQ,1,0.05
NSE,nse_cm,EQ,GSLSU,14599,0,GLOBAL SURFACES LIMITED,GSLSU-EQ,GSLSU-EQ,1,0.01
NSE,nse_cm,EQ,GSFC,1247,0,GUJ STATE FERT & CHEM LTD,GSFC-EQ,GSFC-EQ,1,0.01
NSE,nse_cm,EQ,GRWRHITECH,7982,0,GARWARE HI-TECH FILMS LTD,GRWRHITECH-EQ,GRWRHITECH-EQ,1,0.05
NSE,nse_cm,EQ,GRSE,5475,0,GARDEN REACH SHIP&ENG LTD,GRSE-EQ,GRSE-EQ,1,0.05
NSE,nse_cm,EQ,GSPL,13197,0,GUJARAT STATE PETRO LTD,GSPL-EQ,GSPL-EQ,1,0.05
NSE,nse_cm,EQ,GROBTEA,17770,0,THE GROB TEA COMPANY LTD,GROBTEA-EQ,GROBTEA-EQ,1,0.05
NSE,nse_cm,EQ,GRINFRA,5054,0,G R INFRAPROJECTS LIMITED,GRINFRA-EQ,GRINFRA-EQ,1,0.05
NSE,nse_cm,EQ,GRINDWELL,13560,0,GRINDWELL NORTON LIMITED,GRINDWELL-EQ,GRINDWELL-EQ,1,0.05
NSE,nse_cm,EQ,GREENPOWER,20110,0,ORIENT GREEN POWER CO LTD,GREENPOWER-EQ,GREENPOWER-EQ,1,0.01
NSE,nse_cm,EQ,GREENPLY,3987,0,GREENPLY INDUSTRIES LTD,GREENPLY-EQ,GREENPLY-EQ,1,0.05
NSE,nse_cm,EQ,GREENPANEL,13810,0,GREENPANEL INDUSTRIES LTD,GREENPANEL-EQ,GREENPANEL-EQ,1,0.05
NSE,nse_cm,EQ,GRMOVER,10871,0,GRM OVERSEAS LIMITED,GRMOVER-EQ,GRMOVER-EQ,1,0.05
NSE,nse_cm,EQ,HAPPSTMNDS,48,0,HAPPIEST MINDS TECHNO LTD,HAPPSTMNDS-EQ,HAPPSTMNDS-EQ,1,0.05
NSE,nse_cm,EQ,HAL,2303,0,HINDUSTAN AERONAUTICS LTD,HAL-EQ,HAL-EQ,1,0.05
NSE,nse_cm,EQ,GVPTECH,10865,0,GVP INFOTECH LIMITED,GVPTECH-EQ,GVPTECH-EQ,1,0.01
NSE,nse_cm,EQ,GULPOLY,6286,0,GULSHAN POLYOLS LIMITED,GULPOLY-EQ,GULPOLY-EQ,1,0.01
NSE,nse_cm,EQ,GULFPETRO,11581,0,GP PETROLEUMS LIMITED,GULFPETRO-EQ,GULFPETRO-EQ,1,0.01
NSE,nse_cm,EQ,GULFOILLUB,4391,0,GULF OIL LUB. IND. LTD.,GULFOILLUB-EQ,GULFOILLUB-EQ,1,0.05
NSE,nse_cm,EQ,GUJRAFFIA,4548,0,GUJARAT RAFFIA INDUST LTD,GUJRAFFIA-EQ,GUJRAFFIA-EQ,1,0.01
NSE,nse_cm,EQ,GUJGASLTD,10599,0,GUJARAT GAS LIMITED,GUJGASLTD-EQ,GUJGASLTD-EQ,1,0.05
NSE,nse_cm,EQ,GUJALKALI,1267,0,GUJARAT ALKALIES & CHEM,GUJALKALI-EQ,GUJALKALI-EQ,1,0.05
NSE,nse_cm,EQ,GUFICBIO,11606,0,GUFIC BIOSCIENCES LTD.,GUFICBIO-EQ,GUFICBIO-EQ,1,0.05
NSE,nse_cm,EQ,GTPL,21195,0,GTPL HATHWAY LIMITED,GTPL-EQ,GTPL-EQ,1,0.01
NSE,nse_cm,EQ,GTLINFRA,13745,0,GTL INFRA.LTD,GTLINFRA-EQ,GTLINFRA-EQ,1,0.01
NSE,nse_cm,EQ,GTL,1162,0,GTL LTD,GTL-EQ,GTL-EQ,1,0.01
NSE,nse_cm,EQ,GREENLAM,6848,0,GREENLAM INDUSTRIES LTD.,GREENLAM-EQ,GREENLAM-EQ,1,0.05
NSE,nse_cm,EQ,GREAVESCOT,1235,0,GREAVES COTTON LTD.,GREAVESCOT-EQ,GREAVESCOT-EQ,1,0.01
NSE,nse_cm,EQ,GOLDIAM,11971,0,GOLDIAM INTERNATIONAL LTD,GOLDIAM-EQ,GOLDIAM-EQ,1,0.05
NSE,nse_cm,EQ,GOKULAGRO,14480,0,GOKUL AGRO RESOURCES LTD,GOKULAGRO-EQ,GOKULAGRO-EQ,1,0.05
NSE,nse_cm,EQ,GOKUL,16705,0,GOKUL REFOILS & SOLV LTD,GOKUL-EQ,GOKUL-EQ,1,0.01
NSE,nse_cm,EQ,GOKEX,11778,0,GOKALDAS EXPORTS LTD.,GOKEX-EQ,GOKEX-EQ,1,0.05
NSE,nse_cm,EQ,GODREJPROP,17875,0,GODREJ PROPERTIES LTD,GODREJPROP-EQ,GODREJPROP-EQ,1,0.05
NSE,nse_cm,EQ,GODREJIND,10925,0,GODREJ INDUSTRIES LTD,GODREJIND-EQ,GODREJIND-EQ,1,0.05
NSE,nse_cm,EQ,GODREJCP,10099,0,GODREJ CONSUMER PRODUCTS,GODREJCP-EQ,GODREJCP-EQ,1,0.05
NSE,nse_cm,EQ,GODREJAGRO,144,0,GODREJ AGROVET LIMITED,GODREJAGRO-EQ,GODREJAGRO-EQ,1,0.05
NSE,nse_cm,EQ,GODIGIT,23799,0,GO DIGIT GENERAL INS LTD,GODIGIT-EQ,GODIGIT-EQ,1,0.05
NSE,nse_cm,EQ,GODFRYPHLP,1181,0,GODFREY PHILLIPS INDIA LT,GODFRYPHLP-EQ,GODFRYPHLP-EQ,1,0.05
NSE,nse_cm,EQ,GOCOLORS,6964,0,GO FASHION INDIA LTD,GOCOLORS-EQ,GOCOLORS-EQ,1,0.05
NSE,nse_cm,EQ,GOCLCORP,3963,0,GOCL CORPORATION LIMITED,GOCLCORP-EQ,GOCLCORP-EQ,1,0.05
NSE,nse_cm,EQ,HAPPYFORGE,20854,0,HAPPY FORGINGS LIMITED,HAPPYFORGE-EQ,HAPPYFORGE-EQ,1,0.05
NSE,nse_cm,EQ,GOODLUCK,6125,0,GOODLUCK INDIA LIMITED,GOODLUCK-EQ,GOODLUCK-EQ,1,0.05
NSE,nse_cm,EQ,GRAVITA,20534,0,GRAVITA INDIA LIMITED,GRAVITA-EQ,GRAVITA-EQ,1,0.05
NSE,nse_cm,EQ,GRASIM,1232,0,GRASIM INDUSTRIES LTD,GRASIM-EQ,GRASIM-EQ,1,0.05
NSE,nse_cm,EQ,GRAPHITE,592,0,GRAPHITE INDIA LTD,GRAPHITE-EQ,GRAPHITE-EQ,1,0.05
NSE,nse_cm,EQ,GRANULES,11872,0,GRANULES INDIA LIMITED,GRANULES-EQ,GRANULES-EQ,1,0.05
NSE,nse_cm,EQ,GPTHEALTH,22846,0,GPT HEALTHCARE LIMITED,GPTHEALTH-EQ,GPTHEALTH-EQ,1,0.01
NSE,nse_cm,EQ,GPPL,19731,0,GUJARAT PIPAVAV PORT LTD,GPPL-EQ,GPPL-EQ,1,0.01
NSE,nse_cm,EQ,GPIL,13409,0,GODAWARI POW & ISP LTD,GPIL-EQ,GPIL-EQ,1,0.05
NSE,nse_cm,EQ,GOYALALUM,11787,0,GOYAL ALUMINIUMS LIMITED,GOYALALUM-EQ,GOYALALUM-EQ,1,0.01
NSE,nse_cm,EQ,GOPAL,23066,0,GOPAL SNACKS LIMITED,GOPAL-EQ,GOPAL-EQ,1,0.05
